,CustomerName,Recency,Frequency,Monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
1797,CS2909,1,19,1412,98.83,56.47,56.47,3.14,Medium Value Customer
1798,CS2910,214,23,1345,76.33,82.07,82.07,4.06,High value Customer
1799,CS2911,62,21,1511,91.86,70.65,70.65,3.69,Medium Value Customer
1800,CS2912,347,20,1361,34.3,63.59,63.59,2.96,Low Value Customers
1801,CS2913,476,21,1490,7.25,70.65,70.65,3.06,Medium Value Customer
1802,CS2914,349,26,1792,33.27,93.1,93.1,4.21,High value Customer
1803,CS2915,347,24,1749,34.3,86.57,86.57,3.94,Medium Value Customer
1804,CS2916,2,21,1514,97.69,70.65,70.65,3.74,Medium Value Customer
1805,CS2917,245,20,1474,72.57,63.59,63.59,3.25,Medium Value Customer
1806,CS2918,153,24,1741,83.11,86.57,86.57,4.3,High value Customer
1807,CS2919,282,18,1313,61.61,49.21,49.21,2.55,Low Value Customers
1808,CS2920,91,21,1419,89.72,70.65,70.65,3.68,Medium Value Customer
1809,CS2921,315,16,1044,44.88,34.8,34.8,1.82,Low Value Customers
1810,CS2922,30,15,977,96.56,28.31,28.31,1.93,Low Value Customers
1811,CS2923,488,13,966,6.14,17.32,17.32,0.78,Lost Customers
1812,CS2924,30,21,1459,96.56,70.65,70.65,3.73,Medium Value Customer
1813,CS2925,264,14,997,69.16,22.55,22.55,1.48,Lost Customers
1814,CS2926,287,14,986,57.68,22.55,22.55,1.39,Lost Customers
1815,CS2927,275,25,1581,67.38,90.27,90.27,4.34,High value Customer
1816,CS2928,402,17,1243,17.85,41.88,41.88,1.91,Low Value Customers
1817,CS2929,262,22,1449,70.93,76.89,76.89,3.8,Medium Value Customer
1818,CS2930,310,26,1955,47.85,93.1,93.1,4.32,High value Customer
1819,CS2931,30,21,1550,96.56,70.65,70.65,3.73,Medium Value Customer
1820,CS2932,373,18,1228,25.02,49.21,49.21,2.28,Low Value Customers
1821,CS2933,477,13,900,7.13,17.32,17.32,0.79,Lost Customers
1822,CS2934,279,17,1227,64.07,41.88,41.88,2.26,Low Value Customers
1823,CS2935,183,21,1388,79.38,70.65,70.65,3.6,Medium Value Customer
1824,CS2936,155,13,813,80.68,17.32,17.32,1.34,Lost Customers
1825,CS2937,303,20,1394,52.49,63.59,63.59,3.1,Medium Value Customer
1826,CS2938,355,30,2039,31.12,98.88,98.88,4.44,High value Customer
1827,CS2939,286,17,1227,58.52,41.88,41.88,2.22,Low Value Customers
1828,CS2940,349,21,1334,33.27,70.65,70.65,3.25,Medium Value Customer
1829,CS2941,485,13,1077,6.4,17.32,17.32,0.78,Lost Customers
1830,CS2942,216,17,1246,74.35,41.88,41.88,2.34,Low Value Customers
1831,CS2943,183,19,1306,79.38,56.47,56.47,3.0,Low Value Customers
1832,CS2944,514,17,1239,4.42,41.88,41.88,1.81,Low Value Customers
1833,CS2945,122,26,1911,86.16,93.1,93.1,4.6,Top Customers
1834,CS2946,214,31,2238,76.33,99.41,99.41,4.8,Top Customers
1835,CS2947,410,19,1348,16.5,56.47,56.47,2.52,Low Value Customers
1836,CS2948,538,17,1199,3.45,41.88,41.88,1.81,Low Value Customers
1837,CS2949,416,24,1581,15.35,86.57,86.57,3.79,Medium Value Customer
1838,CS2950,309,16,1072,48.5,34.8,34.8,1.84,Low Value Customers
1839,CS2951,459,32,2382,9.17,99.69,99.69,4.31,High value Customer
1840,CS2952,335,25,1691,39.69,90.27,90.27,4.13,High value Customer
1841,CS2953,315,17,1093,44.88,41.88,41.88,2.12,Low Value Customers
1842,CS2954,310,17,1404,47.85,41.88,41.88,2.14,Low Value Customers
1843,CS2955,291,17,1191,54.68,41.88,41.88,2.19,Low Value Customers
1844,CS2956,61,29,2050,93.04,98.05,98.05,4.86,Top Customers
1845,CS2957,2,19,1251,97.69,56.47,56.47,3.13,Medium Value Customer
1846,CS2958,359,13,778,29.72,17.32,17.32,0.96,Lost Customers
1847,CS2959,303,16,1124,52.49,34.8,34.8,1.87,Low Value Customers
1848,CS2960,92,16,1178,88.44,34.8,34.8,2.14,Low Value Customers
1849,CS2961,63,30,2183,90.8,98.88,98.88,4.88,Top Customers
1850,CS2962,262,23,1639,70.93,82.07,82.07,4.02,High value Customer
1851,CS2963,343,16,1109,36.05,34.8,34.8,1.75,Low Value Customers
